,r_fighter,b_fighter,r_odds,b_odds,date_x,location,country,winner_x,title_bout,weight_class,gender,winner_resolved,location_resolved,r_reach,r_height,b_reach,b_height,win_type,last_round,match_type,match_length,referee,date_y,winner_y,reach_win,height_win
453,david branch,jack hermansson,130,-150,2019-03-30,"Philadelphia, Pennsylvania, USA", usa,Blue,FALSE,Middleweight,male,,"philadelphia, pennsylvania",78,6'1,77,6'1,submission,1,3 rnd (5-5-5),00:00:49,keith peterson,2019-03-30,jack hermansson,False,False
454,josh emmett,michael johnson,130,-150,2019-03-30,"Philadelphia, Pennsylvania, USA", usa,Red,FALSE,Featherweight,male,,"philadelphia, pennsylvania",70,5'6,73,5'10,ko/tko,3,3 rnd (5-5-5),00:14:14,keith peterson,2019-03-30,josh emmett,False,False
455,karolina kowalkiewicz,michelle waterson,-160,140,2019-03-30,"Philadelphia, Pennsylvania, USA", usa,Blue,FALSE,Women's Strawweight,female,,"philadelphia, pennsylvania",64,5'3,62,5'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-30,michelle waterson,False,False
456,kennedy nzechukwu,paul craig,-185,160,2019-03-30,"Philadelphia, Pennsylvania, USA", usa,Blue,FALSE,Light Heavyweight,male,,"philadelphia, pennsylvania",83,6'5,76,6'3,submission,3,3 rnd (5-5-5),00:14:20,keith peterson,2019-03-30,paul craig,False,False
457,sodiq yusuff,sheymon moraes,-145,125,2019-03-30,"Philadelphia, Pennsylvania, USA", usa,Red,FALSE,Featherweight,male,,"philadelphia, pennsylvania",71,5'9,72,5'8,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-30,sodiq yusuff,False,True
458,marina rodriguez,jessica aguilar,-350,290,2019-03-30,"Philadelphia, Pennsylvania, USA", usa,Red,FALSE,Women's Strawweight,female,,"philadelphia, pennsylvania",65,5'6,63,5'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-30,marina rodriguez,True,True
459,ross pearson,desmond green,450,-600,2019-03-30,"Philadelphia, Pennsylvania, USA", usa,Blue,FALSE,Lightweight,male,,"philadelphia, pennsylvania",69,5'8,73,5'10,ko/tko,1,3 rnd (5-5-5),00:02:52,keith peterson,2019-03-30,desmond green,True,True
460,enrique barzola,kevin aguilar,-125,105,2019-03-30,"Philadelphia, Pennsylvania, USA", usa,Blue,FALSE,Featherweight,male,,"philadelphia, pennsylvania",70,5'7,73,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-30,kevin aguilar,True,False
461,kevin holland,gerald meerschaert,-225,185,2019-03-30,"Philadelphia, Pennsylvania, USA", usa,Red,FALSE,Middleweight,male,,"philadelphia, pennsylvania",81,6'3,77,6'1,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-30,kevin holland,True,True
462,ray borg,casey kenney,-230,190,2019-03-30,"Philadelphia, Pennsylvania, USA", usa,Blue,FALSE,Bantamweight,male,,"philadelphia, pennsylvania",63,5'4,68,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-30,casey kenney,True,True
463,sabina mazo,maryna moroz,-165,145,2019-03-30,"Philadelphia, Pennsylvania, USA", usa,Blue,FALSE,Women's Flyweight,female,,"philadelphia, pennsylvania",70,5'7,67,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-30,maryna moroz,False,False
464,alex perez,mark de la rosa,-365,328,2019-03-30,"Philadelphia, Pennsylvania, USA", usa,Red,FALSE,Bantamweight,male,,"philadelphia, pennsylvania",65,5'6,65,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-30,alex perez,True,True
465,stephen thompson,anthony pettis,-430,345,2019-03-23,"Nashville, Tennessee, USA", usa,Blue,FALSE,Welterweight,male,,"nashville, tennessee",75,6'0,72,5'10,ko/tko,2,5 rnd (5-5-5-5-5),00:09:55,keith peterson,2019-03-23,anthony pettis,False,False
466,curtis blaydes,justin willis,-275,235,2019-03-23,"Nashville, Tennessee, USA", usa,Red,FALSE,Heavyweight,male,,"nashville, tennessee",80,6'4,78,6'1,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-23,curtis blaydes,True,True
467,jussier formiga,deiveson figueiredo,150,-170,2019-03-23,"Nashville, Tennessee, USA", usa,Red,FALSE,Flyweight,male,,"nashville, tennessee",67,5'5,68,5'5,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-23,jussier formiga,False,True
468,luis pena,steven peterson,-225,185,2019-03-23,"Nashville, Tennessee, USA", usa,Red,FALSE,Featherweight,male,,"nashville, tennessee",75,6'3,70,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-23,luis pena,True,True
469,maycee barber,jj aldrich,-275,235,2019-03-23,"Nashville, Tennessee, USA", usa,Red,FALSE,Women's Flyweight,female,,"nashville, tennessee",65,5'5,67,5'5,ko/tko,2,3 rnd (5-5-5),00:08:01,keith peterson,2019-03-23,maycee barber,False,True
470,bryce mitchell,bobby moffett,130,-150,2019-03-23,"Nashville, Tennessee, USA", usa,Red,FALSE,Featherweight,male,,"nashville, tennessee",70,5'10,73,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-23,bryce mitchell,False,True
471,marlon vera,frankie saenz,-170,150,2019-03-23,"Nashville, Tennessee, USA", usa,Red,FALSE,Bantamweight,male,,"nashville, tennessee",70,5'8,66,5'6,ko/tko,1,3 rnd (5-5-5),00:01:25,keith peterson,2019-03-23,marlon vera,True,True
472,alexis davis,jennifer maia,-145,125,2019-03-23,"Nashville, Tennessee, USA", usa,Blue,FALSE,Women's Flyweight,female,,"nashville, tennessee",68,5'6,64,5'4,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-23,jennifer maia,False,False
473,randa markos,angela hill,135,-155,2019-03-23,"Nashville, Tennessee, USA", usa,Red,FALSE,Women's Strawweight,female,,"nashville, tennessee",63,5'4,64,5'3,submission,1,3 rnd (5-5-5),00:04:24,keith peterson,2019-03-23,randa markos,False,True
474,ryan macdonald,chris gutierrez,260,-320,2019-03-23,"Nashville, Tennessee, USA", usa,Blue,FALSE,Bantamweight,male,,"nashville, tennessee",71,5'11,67,5'9,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-23,chris gutierrez,False,False
475,eric shelton,jordan espinosa,-130,110,2019-03-23,"Nashville, Tennessee, USA", usa,Blue,FALSE,Flyweight,male,,"nashville, tennessee",68,5'6,69,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-23,jordan espinosa,True,False
476,darren till,jorge masvidal,-225,185,2019-03-16,"London, England, United Kingdom", united kingdom,Blue,FALSE,Welterweight,male,,"london, england",74,6'0,74,5'11,ko/tko,2,5 rnd (5-5-5-5-5),00:08:05,keith peterson,2019-03-16,jorge masvidal,False,True
477,leon edwards,gunnar nelson,-140,120,2019-03-16,"London, England, United Kingdom", united kingdom,Red,FALSE,Welterweight,male,,"london, england",74,6'2,72,5'11,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-16,leon edwards,True,True
478,volkan oezdemir,dominick reyes,220,-260,2019-03-16,"London, England, United Kingdom", united kingdom,Blue,FALSE,Light Heavyweight,male,,"london, england",75,6'2,77,6'4,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-16,dominick reyes,True,True
479,nathaniel wood,jose quinonez,-335,275,2019-03-16,"London, England, United Kingdom", united kingdom,Red,FALSE,Bantamweight,male,,"london, england",69,5'6,69,5'8,submission,2,3 rnd (5-5-5),00:07:46,keith peterson,2019-03-16,nathaniel wood,True,False
480,danny roberts,claudio silva,130,-150,2019-03-16,"London, England, United Kingdom", united kingdom,Blue,FALSE,Welterweight,male,,"london, england",74,6'1,71,5'11,submission,3,3 rnd (5-5-5),00:12:37,keith peterson,2019-03-16,claudio silva,False,False
481,jack marshman,john phillips,-135,115,2019-03-16,"London, England, United Kingdom", united kingdom,Red,FALSE,Middleweight,male,,"london, england",73,6'0,75,5'11,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-16,jack marshman,False,False
482,arnold allen,jordan rinaldi,-150,130,2019-03-16,"London, England, United Kingdom", united kingdom,Red,FALSE,Featherweight,male,,"london, england",70,5'8,72,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-16,arnold allen,False,False
483,marc diakiese,joe duffy,165,-190,2019-03-16,"London, England, United Kingdom", united kingdom,Red,FALSE,Lightweight,male,,"london, england",73,5'10,73,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-16,marc diakiese,True,True
484,nicolae negumereanu,saparbeg safarov,-170,150,2019-03-16,"London, England, United Kingdom", united kingdom,Blue,FALSE,Light Heavyweight,male,,"london, england",78,6'0,78,6'1,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-16,saparbeg safarov,False,True
485,danny henry,dan ige,130,-140,2019-03-16,"London, England, United Kingdom", united kingdom,Blue,FALSE,Featherweight,male,,"london, england",73,6'0,71,5'7,submission,1,3 rnd (5-5-5),00:01:17,keith peterson,2019-03-16,dan ige,False,False
486,molly mccann,priscila cachoeira,-175,155,2019-03-16,"London, England, United Kingdom", united kingdom,Red,FALSE,Women's Flyweight,female,,"london, england",62,5'4,65,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-16,molly mccann,False,False
487,mike grundy,nad narimani,310,-340,2019-03-16,"London, England, United Kingdom", united kingdom,Red,FALSE,Featherweight,male,,"london, england",72,5'7,70,5'8,ko/tko,2,3 rnd (5-5-5),00:09:42,keith peterson,2019-03-16,mike grundy,True,False
488,derrick lewis,junior dos santos,200,-240,2019-03-09,"Wichita, Kansas, USA", usa,Blue,FALSE,Heavyweight,male,,"wichita, kansas",79,6'3,77,6'4,ko/tko,2,5 rnd (5-5-5-5-5),00:06:58,keith peterson,2019-03-09,junior dos santos,False,True
489,elizeu zaleski dos santos,curtis millender,100,-120,2019-03-09,"Wichita, Kansas, USA", usa,Red,FALSE,Welterweight,male,,"wichita, kansas",73,5'11,76,6'2,submission,1,3 rnd (5-5-5),00:02:35,keith peterson,2019-03-09,elizeu zaleski dos santos,False,False
490,tim means,niko price,-210,175,2019-03-09,"Wichita, Kansas, USA", usa,Blue,FALSE,Welterweight,male,,"wichita, kansas",75,6'2,76,6'0,ko/tko,1,3 rnd (5-5-5),00:04:50,keith peterson,2019-03-09,niko price,True,False
491,blagoy ivanov,ben rothwell,100,-120,2019-03-09,"Wichita, Kansas, USA", usa,Red,FALSE,Heavyweight,male,,"wichita, kansas",73,5'11,78,6'4,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-09,blagoy ivanov,False,False
492,beneil dariush,drew dober,-220,180,2019-03-09,"Wichita, Kansas, USA", usa,Red,FALSE,Lightweight,male,,"wichita, kansas",72,5'10,70,5'8,submission,2,3 rnd (5-5-5),00:09:41,keith peterson,2019-03-09,beneil dariush,True,True
493,tim boetsch,omari akhmedov,135,-155,2019-03-09,"Wichita, Kansas, USA", usa,Blue,FALSE,Middleweight,male,,"wichita, kansas",74,6'0,73,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-09,omari akhmedov,False,False
494,anthony rocco martin,sergio moraes,-240,200,2019-03-09,"Wichita, Kansas, USA", usa,Red,FALSE,Welterweight,male,,"wichita, kansas",73,6'0,72,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-09,anthony rocco martin,True,True
495,marion reneau,yana kunitskaya,195,-235,2019-03-09,"Wichita, Kansas, USA", usa,Blue,FALSE,Women's Bantamweight,female,,"wichita, kansas",68,5'6,68,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-09,yana kunitskaya,False,False
496,grant dawson,julian erosa,-200,170,2019-03-09,"Wichita, Kansas, USA", usa,Red,FALSE,Featherweight,male,,"wichita, kansas",72,5'10,74,6'1,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-09,grant dawson,False,False
497,maurice greene,jeff hughes,215,-255,2019-03-09,"Wichita, Kansas, USA", usa,Red,FALSE,Heavyweight,male,,"wichita, kansas",80,6'7,77,6'2,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-09,maurice greene,True,True
498,louis smolka,matt schnell,-130,110,2019-03-09,"Wichita, Kansas, USA", usa,Blue,FALSE,Bantamweight,male,,"wichita, kansas",68,5'9,70,5'8,submission,1,3 rnd (5-5-5),00:03:18,keith peterson,2019-03-09,matt schnell,True,False
499,alex morono,zak ottow,-175,155,2019-03-09,"Wichita, Kansas, USA", usa,Red,FALSE,Welterweight,male,,"wichita, kansas",72,5'11,72,5'11,ko/tko,1,3 rnd (5-5-5),00:03:34,keith peterson,2019-03-09,alex morono,True,True
500,alex white,dan moret,-135,115,2019-03-09,"Wichita, Kansas, USA", usa,Red,FALSE,Lightweight,male,,"wichita, kansas",71,6'0,73,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-09,alex white,False,True
501,jon jones,anthony smith,-800,550,2019-03-02,"Las Vegas, Nevada, USA", usa,Red,TRUE,Light Heavyweight,male,,"las vegas, nevada",84,6'4,76,6'4,decision - unanimous,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2019-03-02,jon jones,True,True
502,tyron woodley,kamaru usman,-190,165,2019-03-02,"Las Vegas, Nevada, USA", usa,Blue,TRUE,Welterweight,male,,"las vegas, nevada",74,5'9,76,6'0,decision - unanimous,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2019-03-02,kamaru usman,True,True
503,robbie lawler,ben askren,240,-280,2019-03-02,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Welterweight,male,,"las vegas, nevada",74,5'11,73,5'11,submission,1,3 rnd (5-5-5),00:03:20,keith peterson,2019-03-02,ben askren,False,False
504,cody garbrandt,pedro munhoz,-160,140,2019-03-02,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Bantamweight,male,,"las vegas, nevada",65,5'8,65,5'6,ko/tko,1,3 rnd (5-5-5),00:04:52,keith peterson,2019-03-02,pedro munhoz,False,False
505,jeremy stephens,zabit magomedsharipov,260,-320,2019-03-02,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Featherweight,male,,"las vegas, nevada",71,5'9,73,6'1,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-02,zabit magomedsharipov,True,True
506,misha cirkunov,johnny walker,155,-175,2019-03-02,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Light Heavyweight,male,,"las vegas, nevada",77,6'3,82,6'6,ko/tko,1,3 rnd (5-5-5),00:00:36,keith peterson,2019-03-02,johnny walker,True,True
507,cody stamann,alejandro perez,-170,150,2019-03-02,"Las Vegas, Nevada, USA", usa,Red,FALSE,Bantamweight,male,,"las vegas, nevada",64,5'6,67,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-02,cody stamann,False,True
508,diego sanchez,mickey gall,200,-240,2019-03-02,"Las Vegas, Nevada, USA", usa,Red,FALSE,Welterweight,male,,"las vegas, nevada",72,5'10,74,6'2,ko/tko,2,3 rnd (5-5-5),00:09:13,keith peterson,2019-03-02,diego sanchez,False,False
509,edmen shahbazyan,charles byrd,-150,130,2019-03-02,"Las Vegas, Nevada, USA", usa,Red,FALSE,Middleweight,male,,"las vegas, nevada",74,6'2,73,5'10,ko/tko,1,3 rnd (5-5-5),00:00:38,keith peterson,2019-03-02,edmen shahbazyan,True,True
510,gina mazany,macy chiasson,415,-525,2019-03-02,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Women's Bantamweight,female,,"las vegas, nevada",68,5'6,72,5'11,ko/tko,1,3 rnd (5-5-5),00:01:49,keith peterson,2019-03-02,macy chiasson,True,True
511,polyana viana,hannah cifers,-280,240,2019-03-02,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Women's Strawweight,female,,"las vegas, nevada",67,5'5,62,5'1,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-03-02,hannah cifers,False,False
512,jan blachowicz,thiago santos,110,-130,2019-02-23,"Prague, Czech Republic", czech republic,Blue,FALSE,Light Heavyweight,male,,prague,78,6'2,76,6'2,ko/tko,3,5 rnd (5-5-5-5-5),00:10:39,keith peterson,2019-02-23,thiago santos,False,False
513,stefan struve,marcos rogerio de lima,-115,-105,2019-02-23,"Prague, Czech Republic", czech republic,Red,FALSE,Heavyweight,male,,prague,84,6'11,75,6'1,submission,2,3 rnd (5-5-5),00:07:21,keith peterson,2019-02-23,stefan struve,True,True
514,gian villante,michal oleksiejczuk,180,-220,2019-02-23,"Prague, Czech Republic", czech republic,Blue,FALSE,Light Heavyweight,male,,prague,76,6'3,74,6'0,ko/tko,1,3 rnd (5-5-5),00:01:34,keith peterson,2019-02-23,michal oleksiejczuk,False,False
515,liz carmouche,lucie pudilova,-155,135,2019-02-23,"Prague, Czech Republic", czech republic,Red,FALSE,Women's Flyweight,female,,prague,66,5'6,67,5'8,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-02-23,liz carmouche,False,False
516,john dodson,petr yan,225,-265,2019-02-23,"Prague, Czech Republic", czech republic,Blue,FALSE,Bantamweight,male,,prague,66,5'3,67,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-02-23,petr yan,True,True
517,magomed ankalaev,klidson abreu,-210,175,2019-02-23,"Prague, Czech Republic", czech republic,Red,FALSE,Light Heavyweight,male,,prague,75,6'3,74,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-02-23,magomed ankalaev,True,True
518,daniel teymur,chris fishgold,205,-245,2019-02-23,"Prague, Czech Republic", czech republic,Blue,FALSE,Featherweight,male,,prague,69,5'5,68,5'8,submission,2,3 rnd (5-5-5),00:06:10,keith peterson,2019-02-23,chris fishgold,False,True
519,veronica macedo,gillian robertson,158,-180,2019-02-23,"Prague, Czech Republic", czech republic,Blue,FALSE,Women's Flyweight,female,,prague,64,5'4,63,5'5,submission,2,3 rnd (5-5-5),00:08:27,keith peterson,2019-02-23,gillian robertson,False,True
520,michel prazeres,ismail naurdiev,-470,375,2019-02-23,"Prague, Czech Republic", czech republic,Blue,FALSE,Welterweight,male,,prague,67,5'6,74,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-02-23,ismail naurdiev,True,True
521,rustam khabilov,diego ferreira,-140,120,2019-02-23,"Prague, Czech Republic", czech republic,Blue,FALSE,Lightweight,male,,prague,73,5'8,74,5'9,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-02-23,diego ferreira,True,True
522,damir ismagulov,joel alvarez,-325,265,2019-02-23,"Prague, Czech Republic", czech republic,Red,FALSE,Lightweight,male,,prague,70,5'9,77,6'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-02-23,damir ismagulov,False,False
523,francis ngannou,cain velasquez,175,-210,2019-02-17,"Phoenix, Arizona, USA", usa,Red,FALSE,Heavyweight,male,,"phoenix, arizona",83,6'4,77,6'1,ko/tko,1,5 rnd (5-5-5-5-5),00:00:26,keith peterson,2019-02-17,francis ngannou,True,True
524,james vick,paul felder,-120,100,2019-02-17,"Phoenix, Arizona, USA", usa,Blue,FALSE,Lightweight,male,,"phoenix, arizona",76,6'3,70,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-02-17,paul felder,False,False
525,cortney casey,cynthia calvillo,295,-355,2019-02-17,"Phoenix, Arizona, USA", usa,Blue,FALSE,Women's Strawweight,female,,"phoenix, arizona",67,5'7,64,5'4,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-02-17,cynthia calvillo,False,False
526,alex caceres,kron gracie,245,-290,2019-02-17,"Phoenix, Arizona, USA", usa,Blue,FALSE,Featherweight,male,,"phoenix, arizona",73,5'10,70,5'9,submission,1,3 rnd (5-5-5),00:02:06,keith peterson,2019-02-17,kron gracie,False,False
527,vicente luque,bryan barberena,-470,375,2019-02-17,"Phoenix, Arizona, USA", usa,Red,FALSE,Welterweight,male,,"phoenix, arizona",75,5'11,72,6'0,ko/tko,3,3 rnd (5-5-5),00:14:54,keith peterson,2019-02-17,vicente luque,True,True
528,andre fili,myles jury,130,-150,2019-02-17,"Phoenix, Arizona, USA", usa,Red,FALSE,Featherweight,male,,"phoenix, arizona",74,5'11,73,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-02-17,andre fili,True,True
529,jimmie rivera,aljamain sterling,-135,115,2019-02-17,"Phoenix, Arizona, USA", usa,Blue,FALSE,Bantamweight,male,,"phoenix, arizona",68,5'4,71,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-02-17,aljamain sterling,True,True
530,benito lopez,manny bermudez,170,-200,2019-02-17,"Phoenix, Arizona, USA", usa,Blue,FALSE,Bantamweight,male,,"phoenix, arizona",73,5'10,71,5'10,submission,1,3 rnd (5-5-5),00:03:09,keith peterson,2019-02-17,manny bermudez,False,False
531,ashlee evans-smith,andrea lee,160,-185,2019-02-17,"Phoenix, Arizona, USA", usa,Blue,FALSE,Women's Flyweight,female,,"phoenix, arizona",67,5'8,69,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-02-17,andrea lee,True,False
532,scott holtzman,nik lentz,-160,140,2019-02-17,"Phoenix, Arizona, USA", usa,Blue,FALSE,Lightweight,male,,"phoenix, arizona",69,5'9,68,5'8,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-02-17,nik lentz,False,False
533,renan barao,luke sanders,130,-150,2019-02-17,"Phoenix, Arizona, USA", usa,Blue,FALSE,Bantamweight,male,,"phoenix, arizona",70,5'6,67,5'6,ko/tko,2,3 rnd (5-5-5),00:06:01,keith peterson,2019-02-17,luke sanders,False,False
534,israel adesanya,anderson silva,-515,410,2019-02-09,"Melbourne, Victoria, Australia", australia,Red,FALSE,Middleweight,male,,"melbourne, victoria",80,6'4,77,6'2,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-02-09,israel adesanya,True,True
535,lando vannata,marcos mariano,-450,360,2019-02-09,"Melbourne, Victoria, Australia", australia,Red,FALSE,Lightweight,male,,"melbourne, victoria",71,5'9,76,6'1,submission,1,3 rnd (5-5-5),00:04:55,keith peterson,2019-02-09,lando vannata,False,False
536,rani yahya,ricky simon,-115,-105,2019-02-09,"Melbourne, Victoria, Australia", australia,Blue,FALSE,Bantamweight,male,,"melbourne, victoria",67,5'6,69,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-02-09,ricky simon,True,False
537,montana de la rosa,nadia kassem,-250,210,2019-02-09,"Melbourne, Victoria, Australia", australia,Red,FALSE,Women's Flyweight,female,,"melbourne, victoria",68,5'7,66,5'5,submission,2,3 rnd (5-5-5),00:07:37,keith peterson,2019-02-09,montana de la rosa,True,True
538,jimmy crute,sam alvey,-145,125,2019-02-09,"Melbourne, Victoria, Australia", australia,Red,FALSE,Light Heavyweight,male,,"melbourne, victoria",74,6'2,75,6'2,ko/tko,1,3 rnd (5-5-5),00:02:49,keith peterson,2019-02-09,jimmy crute,False,True
539,devonte smith,dong hyun ma,-270,230,2019-02-09,"Melbourne, Victoria, Australia", australia,Red,FALSE,Lightweight,male,,"melbourne, victoria",76,5'9,70,5'11,ko/tko,1,3 rnd (5-5-5),00:03:53,keith peterson,2019-02-09,devonte smith,True,False
540,shane young,austin arnett,-380,315,2019-02-09,"Melbourne, Victoria, Australia", australia,Red,FALSE,Featherweight,male,,"melbourne, victoria",72,5'8,72,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-02-09,shane young,True,False
541,kai kara-france,raulian paiva,-265,220,2019-02-09,"Melbourne, Victoria, Australia", australia,Red,FALSE,Flyweight,male,,"melbourne, victoria",69,5'4,69,5'8,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-02-09,kai kara-france,True,False
542,teruto ishihara,kyung ho kang,290,-350,2019-02-09,"Melbourne, Victoria, Australia", australia,Blue,FALSE,Bantamweight,male,,"melbourne, victoria",69,5'7,73,5'9,submission,1,3 rnd (5-5-5),00:03:59,keith peterson,2019-02-09,kyung ho kang,True,True
543,callan potter,jalin turner,190,-230,2019-02-09,"Melbourne, Victoria, Australia", australia,Blue,FALSE,Lightweight,male,,"melbourne, victoria",72,6'0,77,6'3,ko/tko,1,3 rnd (5-5-5),00:00:53,keith peterson,2019-02-09,jalin turner,True,True
544,wuliji buren,jonathan martinez,105,-125,2019-02-09,"Melbourne, Victoria, Australia", australia,Blue,FALSE,Bantamweight,male,,"melbourne, victoria",69,5'9,70,5'8,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-02-09,jonathan martinez,True,False
545,raphael assuncao,marlon moraes,130,-150,2019-02-02,"Fortaleza, Ceara, Brazil", brazil,Blue,FALSE,Bantamweight,male,,"fortaleza, ceara",66,5'5,67,5'6,submission,1,5 rnd (5-5-5-5-5),00:03:17,keith peterson,2019-02-02,marlon moraes,True,True
546,raphael assuncao,marlon moraes,130,-150,2019-02-02,"Fortaleza, Ceara, Brazil", brazil,Blue,FALSE,Bantamweight,male,,"fortaleza, ceara",66,5'5,67,5'6,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2017-06-03,raphael assuncao,False,False
547,raphael assuncao,marlon moraes,220,-260,2017-06-03,"Rio de Janeiro, Rio de Janeiro, Brazil", brazil,Red,FALSE,Bantamweight,male,,"rio de janeiro, rio de janeiro",66,5'5,67,5'6,submission,1,5 rnd (5-5-5-5-5),00:03:17,keith peterson,2019-02-02,marlon moraes,True,True
548,raphael assuncao,marlon moraes,220,-260,2017-06-03,"Rio de Janeiro, Rio de Janeiro, Brazil", brazil,Red,FALSE,Bantamweight,male,,"rio de janeiro, rio de janeiro",66,5'5,67,5'6,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2017-06-03,raphael assuncao,False,False
549,jose aldo,renato moicano,-110,-110,2019-02-02,"Fortaleza, Ceara, Brazil", brazil,Red,FALSE,Featherweight,male,,"fortaleza, ceara",70,5'7,72,5'11,ko/tko,2,3 rnd (5-5-5),00:05:44,keith peterson,2019-02-02,jose aldo,False,False
550,demian maia,lyman good,-200,170,2019-02-02,"Fortaleza, Ceara, Brazil", brazil,Red,FALSE,Welterweight,male,,"fortaleza, ceara",72,6'1,74,6'0,submission,1,3 rnd (5-5-5),00:02:38,keith peterson,2019-02-02,demian maia,False,True
551,charles oliveira,david teymur,-120,100,2019-02-02,"Fortaleza, Ceara, Brazil", brazil,Red,FALSE,Lightweight,male,,"fortaleza, ceara",74,5'10,73,5'9,submission,2,3 rnd (5-5-5),00:05:55,keith peterson,2019-02-02,charles oliveira,True,True
552,johnny walker,justin ledet,-235,195,2019-02-02,"Fortaleza, Ceara, Brazil", brazil,Red,FALSE,Light Heavyweight,male,,"fortaleza, ceara",82,6'6,80,6'4,ko/tko,1,3 rnd (5-5-5),00:00:15,keith peterson,2019-02-02,johnny walker,True,True
553,livinha souza,sarah frota,-230,190,2019-02-02,"Fortaleza, Ceara, Brazil", brazil,Red,FALSE,Women's Strawweight,female,,"fortaleza, ceara",63,5'3,69,5'6,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2019-02-02,livinha souza,False,False
