,r_fighter,b_fighter,r_odds,b_odds,date_x,location,country,winner_x,title_bout,weight_class,gender,winner_resolved,location_resolved,r_reach,r_height,b_reach,b_height,win_type,last_round,match_type,match_length,referee,date_y,winner_y,reach_win,height_win
3506,diego sanchez,martin kampmann,125,-135,2011-03-03,"Louisville, Kentucky, USA", usa,Red,FALSE,Welterweight,male,,"louisville, kentucky",72,5'10,72,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-03-03,diego sanchez,True,True
3507,cb dollaway,mark munoz,160,-170,2011-03-03,"Louisville, Kentucky, USA", usa,Blue,FALSE,Middleweight,male,,"louisville, kentucky",76,6'2,71,6'0,ko/tko,1,3 rnd (5-5-5),00:00:54,keith peterson,2011-03-03,mark munoz,False,False
3508,alessio sakara,chris weidman,190,-230,2011-03-03,"Louisville, Kentucky, USA", usa,Blue,FALSE,Middleweight,male,,"louisville, kentucky",72,6'0,78,6'2,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-03-03,chris weidman,True,True
3509,brian bowles,damacio page,-310,255,2011-03-03,"Louisville, Kentucky, USA", usa,Red,FALSE,Bantamweight,male,,"louisville, kentucky",70,5'7,66,5'6,submission,1,3 rnd (5-5-5),00:03:30,keith peterson,2011-03-03,brian bowles,True,True
3510,steve cantwell,cyrille diabate,-145,125,2011-03-03,"Louisville, Kentucky, USA", usa,Blue,FALSE,Light Heavyweight,male,,"louisville, kentucky",75,6'2,81,6'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-03-03,cyrille diabate,True,True
3511,joe stevenson,danny castillo,-130,110,2011-03-03,"Louisville, Kentucky, USA", usa,Blue,FALSE,Lightweight,male,,"louisville, kentucky",70,5'7,71,5'9,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-03-03,danny castillo,True,True
3512,thiago tavares,shane roller,105,-115,2011-03-03,"Louisville, Kentucky, USA", usa,Blue,FALSE,Lightweight,male,,"louisville, kentucky",70,5'7,72,5'10,ko/tko,2,3 rnd (5-5-5),00:06:28,keith peterson,2011-03-03,shane roller,True,True
3513,takeya mizugaki,reuben duran,-225,185,2011-03-03,"Louisville, Kentucky, USA", usa,Red,FALSE,Bantamweight,male,,"louisville, kentucky",69,5'7,71,5'7,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-03-03,takeya mizugaki,False,True
3514,rob kimmons,dongi yang,185,-225,2011-03-03,"Louisville, Kentucky, USA", usa,Blue,FALSE,Middleweight,male,,"louisville, kentucky",73,5'10,73,5'10,ko/tko,2,3 rnd (5-5-5),00:09:47,keith peterson,2011-03-03,dongi yang,False,False
3515,david branch,rousimar palhares,140,-160,2011-03-03,"Louisville, Kentucky, USA", usa,Blue,FALSE,Middleweight,male,,"louisville, kentucky",78,6'1,71,5'8,submission,2,3 rnd (5-5-5),00:06:44,keith peterson,2011-03-03,rousimar palhares,False,False
3516,bj penn,jon fitch,170,-185,2011-02-26,"Sydney, New South Wales, Australia", australia,Draw,FALSE,Welterweight,male,,"sydney, new south wales",70,5'9,74,6'0,decision - majority,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-02-26,alexander gustafsson,False,False
3517,michael bisping,jorge rivera,-290,260,2011-02-26,"Sydney, New South Wales, Australia", australia,Red,FALSE,Middleweight,male,,"sydney, new south wales",75,6'1,73,6'1,ko/tko,2,3 rnd (5-5-5),00:06:54,keith peterson,2011-02-26,michael bisping,True,True
3518,george sotiropoulos,dennis siver,-360,325,2011-02-26,"Sydney, New South Wales, Australia", australia,Blue,FALSE,Lightweight,male,,"sydney, new south wales",71,5'10,70,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-02-26,dennis siver,False,False
3519,brian ebersole,chris lytle,260,-320,2011-02-26,"Sydney, New South Wales, Australia", australia,Red,FALSE,Welterweight,male,,"sydney, new south wales",73,6'0,68,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-02-26,brian ebersole,True,False
3520,chris camozzi,kyle noke,170,-185,2011-02-26,"Sydney, New South Wales, Australia", australia,Blue,FALSE,Middleweight,male,,"sydney, new south wales",75,6'2,76,6'1,submission,1,3 rnd (5-5-5),00:01:35,keith peterson,2011-02-26,kyle noke,True,False
3521,ross pearson,spencer fisher,-185,160,2011-02-26,"Sydney, New South Wales, Australia", australia,Red,FALSE,Lightweight,male,,"sydney, new south wales",69,5'8,68,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-02-26,ross pearson,True,True
3522,alexander gustafsson,james te huna,-350,290,2011-02-26,"Sydney, New South Wales, Australia", australia,Red,FALSE,Light Heavyweight,male,,"sydney, new south wales",79,6'5,75,6'2,submission,1,3 rnd (5-5-5),00:04:27,keith peterson,2011-02-26,alexander gustafsson,True,True
3523,nick ring,riki fukuda,100,-120,2011-02-26,"Sydney, New South Wales, Australia", australia,Red,FALSE,Middleweight,male,,"sydney, new south wales",74,6'0,73,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-02-26,nick ring,True,True
3524,mark hunt,chris tuchscherer,225,-265,2011-02-26,"Sydney, New South Wales, Australia", australia,Red,FALSE,Heavyweight,male,,"sydney, new south wales",72,5'10,76,6'2,ko/tko,2,3 rnd (5-5-5),00:06:41,keith peterson,2011-02-26,mark hunt,False,False
3525,anderson silva,vitor belfort,-210,190,2011-02-05,"Las Vegas, Nevada, USA", usa,Red,TRUE,Middleweight,male,,"las vegas, nevada",77,6'2,74,6'0,ko/tko,1,5 rnd (5-5-5-5-5),00:03:25,keith peterson,2011-02-05,anderson silva,True,True
3526,forrest griffin,rich franklin,118,-128,2011-02-05,"Las Vegas, Nevada, USA", usa,Red,FALSE,Light Heavyweight,male,,"las vegas, nevada",77,6'3,76,6'1,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-02-05,forrest griffin,True,True
3527,jon jones,ryan bader,-285,258,2011-02-05,"Las Vegas, Nevada, USA", usa,Red,FALSE,Light Heavyweight,male,,"las vegas, nevada",84,6'4,74,6'2,submission,2,3 rnd (5-5-5),00:09:20,keith peterson,2011-02-05,jon jones,True,True
3528,jake ellenberger,carlos eduardo rocha,-280,255,2011-02-05,"Las Vegas, Nevada, USA", usa,Red,FALSE,Welterweight,male,,"las vegas, nevada",71,5'9,73,5'10,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-02-05,jake ellenberger,False,False
3529,miguel torres,antonio banuelos,-320,290,2011-02-05,"Las Vegas, Nevada, USA", usa,Red,FALSE,Bantamweight,male,,"las vegas, nevada",76,5'9,63,5'5,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-02-05,miguel torres,True,True
3530,donald cerrone,paul kelly,-275,235,2011-02-05,"Las Vegas, Nevada, USA", usa,Red,FALSE,Lightweight,male,,"las vegas, nevada",73,6'1,70,5'9,submission,2,3 rnd (5-5-5),00:08:48,keith peterson,2011-02-05,donald cerrone,True,True
3531,chad mendes,michihiro omigawa,-365,305,2011-02-05,"Las Vegas, Nevada, USA", usa,Red,FALSE,Featherweight,male,,"las vegas, nevada",66,5'6,68,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-02-05,chad mendes,False,True
3532,norifumi yamamoto,demetrious johnson,-115,-105,2011-02-05,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Bantamweight,male,,"las vegas, nevada",66,5'4,66,5'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-02-05,demetrious johnson,False,False
3533,kyle kingsbury,ricardo romero,115,-135,2011-02-05,"Las Vegas, Nevada, USA", usa,Red,FALSE,Light Heavyweight,male,,"las vegas, nevada",79,6'4,76,6'0,ko/tko,1,3 rnd (5-5-5),00:00:21,keith peterson,2011-02-05,kyle kingsbury,True,True
3534,mike pierce,kenny robertson,-240,200,2011-02-05,"Las Vegas, Nevada, USA", usa,Red,FALSE,Welterweight,male,,"las vegas, nevada",71,5'8,74,5'10,ko/tko,2,3 rnd (5-5-5),00:05:29,keith peterson,2011-02-05,mike pierce,False,False
3535,melvin guillard,evan dunham,205,-225,2011-01-22,"Killeen, Texas, USA", usa,Red,FALSE,Lightweight,male,,"killeen, texas",71,5'9,70,5'10,ko/tko,1,3 rnd (5-5-5),00:02:58,keith peterson,2011-01-22,melvin guillard,True,False
3536,matt mitrione,tim hague,-250,230,2011-01-22,"Killeen, Texas, USA", usa,Red,FALSE,Heavyweight,male,,"killeen, texas",82,6'3,76,6'4,ko/tko,1,3 rnd (5-5-5),00:02:59,keith peterson,2011-01-22,matt mitrione,True,False
3537,mark hominick,george roop,-250,230,2011-01-22,"Killeen, Texas, USA", usa,Red,FALSE,Featherweight,male,,"killeen, texas",68,5'8,72,6'1,ko/tko,1,3 rnd (5-5-5),00:01:28,keith peterson,2011-01-22,mark hominick,False,False
3538,pat barry,joey beltran,-174,164,2011-01-22,"Killeen, Texas, USA", usa,Red,FALSE,Heavyweight,male,,"killeen, texas",74,5'11,75,6'1,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-01-22,pat barry,False,True
3539,cole miller,matt wiman,-135,125,2011-01-22,"Killeen, Texas, USA", usa,Blue,FALSE,Lightweight,male,,"killeen, texas",73,6'1,68,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-01-22,matt wiman,False,False
3540,cody mckenzie,yves edwards,255,-310,2011-01-22,"Killeen, Texas, USA", usa,Blue,FALSE,Lightweight,male,,"killeen, texas",72,6'0,73,5'9,submission,2,3 rnd (5-5-5),00:09:33,keith peterson,2011-01-22,yves edwards,True,False
3541,damarques johnson,mike guymon,-125,105,2011-01-22,"Killeen, Texas, USA", usa,Red,FALSE,Welterweight,male,,"killeen, texas",75,6'1,74,6'0,submission,1,3 rnd (5-5-5),00:03:22,keith peterson,2011-01-22,damarques johnson,True,True
3542,rani yahya,mike brown,290,-350,2011-01-22,"Killeen, Texas, USA", usa,Red,FALSE,Featherweight,male,,"killeen, texas",67,5'6,70,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-01-22,rani yahya,False,True
3543,will campuzano,chris cariaso,100,-120,2011-01-22,"Killeen, Texas, USA", usa,Blue,FALSE,Bantamweight,male,,"killeen, texas",70,5'9,64,5'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-01-22,chris cariaso,False,False
3544,chris leben,brian stann,-147,137,2011-01-01,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Middleweight,male,,"las vegas, nevada",73,5'11,74,6'1,ko/tko,1,3 rnd (5-5-5),00:03:37,keith peterson,2011-01-01,brian stann,True,False
3545,brandon vera,thiago silva,125,-135,2011-01-01,"Las Vegas, Nevada, USA", usa,Draw,FALSE,Light Heavyweight,male,,"las vegas, nevada",78,6'3,74,6'2,overturned,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-01-01,jeremy stephens,False,False
3546,nate diaz,dong hyun kim,121,-131,2011-01-01,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Welterweight,male,,"las vegas, nevada",76,6'0,76,6'2,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-01-01,dong hyun kim,False,True
3547,clay guida,takanori gomi,-137,127,2011-01-01,"Las Vegas, Nevada, USA", usa,Red,FALSE,Lightweight,male,,"las vegas, nevada",70,5'7,70,5'7,submission,2,3 rnd (5-5-5),00:09:27,keith peterson,2011-01-01,clay guida,True,True
3548,jeremy stephens,marcus davis,-300,250,2011-01-01,"Las Vegas, Nevada, USA", usa,Red,FALSE,Lightweight,male,,"las vegas, nevada",71,5'9,70,5'10,ko/tko,3,3 rnd (5-5-5),00:12:33,keith peterson,2011-01-01,jeremy stephens,True,False
3549,dustin poirier,josh grispi,250,-300,2011-01-01,"Las Vegas, Nevada, USA", usa,Red,FALSE,Featherweight,male,,"las vegas, nevada",72,5'9,74,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-01-01,dustin poirier,False,False
3550,phil baroni,brad tavares,240,-280,2011-01-01,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Middleweight,male,,"las vegas, nevada",72,5'9,74,6'1,ko/tko,1,3 rnd (5-5-5),00:04:20,keith peterson,2011-01-01,brad tavares,True,True
3551,mike brown,diego nunes,-225,185,2011-01-01,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Featherweight,male,,"las vegas, nevada",70,5'6,67,5'6,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2011-01-01,diego nunes,False,False
3552,daniel roberts,greg soto,-115,-105,2011-01-01,"Las Vegas, Nevada, USA", usa,Red,FALSE,Welterweight,male,,"las vegas, nevada",74,5'10,73,5'11,submission,1,3 rnd (5-5-5),00:03:45,keith peterson,2011-01-01,daniel roberts,True,False
3553,georges st-pierre,josh koscheck,-440,390,2010-12-11,"Montreal, Quebec, Canada", canada,Red,TRUE,Welterweight,male,,"montreal, quebec",76,5'11,73,5'10,decision - unanimous,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2010-12-11,georges st-pierre,True,True
3554,georges st-pierre,josh koscheck,-440,390,2010-12-11,"Montreal, Quebec, Canada", canada,Red,TRUE,Welterweight,male,,"montreal, quebec",76,5'11,73,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2007-08-25,georges st-pierre,True,True
3555,stefan struve,sean mccorkle,-120,110,2010-12-11,"Montreal, Quebec, Canada", canada,Red,FALSE,Heavyweight,male,,"montreal, quebec",84,6'11,81,6'7,ko/tko,1,3 rnd (5-5-5),00:03:55,keith peterson,2010-12-11,stefan struve,True,True
3556,joe stevenson,mac danzig,-240,220,2010-12-11,"Montreal, Quebec, Canada", canada,Blue,FALSE,Lightweight,male,,"montreal, quebec",70,5'7,70,5'8,ko/tko,1,3 rnd (5-5-5),00:01:54,keith peterson,2010-12-11,mac danzig,False,True
3557,thiago alves,john howard,-300,270,2010-12-11,"Montreal, Quebec, Canada", canada,Red,FALSE,Welterweight,male,,"montreal, quebec",70,5'9,72,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2010-12-11,thiago alves,False,True
3558,joe doerksen,dan miller,210,-250,2010-12-11,"Montreal, Quebec, Canada", canada,Blue,FALSE,Middleweight,male,,"montreal, quebec",75,6'0,74,6'1,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2010-12-11,dan miller,False,True
3559,mark bocek,dustin hazelett,-150,130,2010-12-11,"Montreal, Quebec, Canada", canada,Red,FALSE,Lightweight,male,,"montreal, quebec",75,5'8,76,6'1,submission,1,3 rnd (5-5-5),00:02:33,keith peterson,2010-12-11,mark bocek,False,False
