"index","r_odds","b_odds","weight_class"
308,-105,-105,"Women's Flyweight"
309,-155,135,"Welterweight"
310,-200,170,"Middleweight"
311,-115,-105,"Welterweight"
312,-115,-105,"Heavyweight"
313,150,-170,"Lightweight"
314,155,-175,"Light Heavyweight"
315,-220,180,"Featherweight"
316,160,-185,"Middleweight"
317,140,-160,"Heavyweight"
318,-135,115,"Women's Flyweight"
319,-115,-105,"Welterweight"
320,-110,-110,"Featherweight"
321,-275,235,"Featherweight"
322,-270,230,"Heavyweight"
323,-240,200,"Welterweight"
324,-235,195,"Light Heavyweight"
325,-135,115,"Welterweight"
326,-145,125,"Light Heavyweight"
327,-330,270,"Light Heavyweight"
328,-245,205,"Welterweight"
329,-145,125,"Middleweight"
330,-265,225,"Welterweight"
331,110,-130,"Lightweight"
332,-105,-115,"Women's Bantamweight"
333,-150,130,"Bantamweight"
334,-160,140,"Light Heavyweight"
335,-225,185,"Light Heavyweight"
336,-390,320,"Lightweight"
337,105,-125,"Middleweight"
338,135,-155,"Middleweight"
339,170,-200,"Welterweight"
340,-430,345,"Featherweight"
341,-155,135,"Lightweight"
342,-135,115,"Welterweight"
343,-235,195,"Featherweight"
344,-260,220,"Women's Flyweight"
345,195,-235,"Women's Bantamweight"
346,129,-151,"Featherweight"
347,145,-175,"Light Heavyweight"
348,-280,220,"Featherweight"
349,-118,-118,"Light Heavyweight"
350,-138,105,"Middleweight"
351,-275,200,"Bantamweight"
352,-641,484,"Heavyweight"
353,-275,200,"Featherweight"
354,150,-200,"Lightweight"
355,-181,159,"Flyweight"
356,-151,129,"Bantamweight"
357,-303,234,"Women's Strawweight"
358,126,-154,"Bantamweight"
359,-190,165,"Welterweight"
360,-200,170,"Featherweight"
361,-460,365,"Women's Bantamweight"
362,-165,145,"Bantamweight"
363,-470,375,"Bantamweight"
364,-300,250,"Welterweight"
365,-240,200,"Women's Bantamweight"
366,-115,-105,"Middleweight"
367,-355,295,"Welterweight"
368,-165,145,"Featherweight"
369,140,-160,"Flyweight"
370,185,-225,"Women's Flyweight"
371,-125,105,"Middleweight"
372,130,-150,"Heavyweight"
373,-150,130,"Women's Strawweight"
374,130,-150,"Heavyweight"
375,-210,175,"Women's Bantamweight"
376,200,-240,"Bantamweight"
377,-145,125,"Bantamweight"
378,225,-265,"Welterweight"
379,-320,260,"Featherweight"
380,110,-130,"Featherweight"
381,-400,325,"Lightweight"
382,215,-255,"Women's Strawweight"
383,-500,400,"Light Heavyweight"
384,145,-165,"Bantamweight"
385,-1100,700,"Women's Flyweight"
386,-210,175,"Lightweight"
387,300,-360,"Bantamweight"
388,-160,140,"Heavyweight"
389,-750,525,"Women's Strawweight"
390,-160,140,"Bantamweight"
391,105,-125,"Women's Strawweight"
392,155,-175,"Featherweight"
393,-220,180,"Women's Strawweight"
394,-170,150,"Middleweight"
395,-155,135,"Bantamweight"
396,-105,-115,"Women's Flyweight"
397,-320,260,"Light Heavyweight"
398,215,-255,"Light Heavyweight"
399,-130,110,"Featherweight"
400,-165,145,"Lightweight"
401,110,-130,"Featherweight"
402,135,-155,"Welterweight"
403,-400,325,"Women's Bantamweight"
404,135,-155,"Lightweight"
405,110,-130,"Lightweight"
406,-125,105,"Women's Bantamweight"
407,-110,-110,"Light Heavyweight"
408,-105,-115,"Lightweight"
409,130,-150,"Welterweight"
