"index","r_odds","b_odds","gender"
889,205,-245,"male"
890,-115,-105,"male"
891,188,-205,"male"
892,-200,170,"male"
893,120,-140,"male"
894,-110,-110,"male"
895,-120,100,"male"
896,-400,325,"male"
897,-220,180,"male"
898,-160,140,"male"
899,-185,160,"male"
900,135,-155,"male"
901,-210,175,"female"
902,250,-300,"male"
903,-450,360,"male"
904,-1200,600,"male"
905,205,-245,"male"
906,125,-145,"male"
907,-150,130,"male"
908,-750,525,"male"
909,-245,205,"male"
910,-170,150,"male"
911,325,-400,"male"
912,-160,140,"male"
913,315,-380,"male"
914,140,-160,"female"
915,120,-140,"male"
916,135,-155,"female"
917,-390,320,"male"
918,415,-525,"male"
919,425,-550,"female"
920,180,-220,"male"
921,-175,155,"male"
922,280,-340,"female"
923,-235,195,"male"
924,-190,165,"male"
925,-110,-110,"male"
926,-174,164,"female"
927,-155,145,"male"
928,-235,195,"male"
929,280,-340,"male"
930,265,-325,"male"
931,-700,500,"female"
932,-115,-105,"male"
933,-260,220,"female"
934,-265,225,"male"
935,165,-190,"male"
936,-150,130,"male"
937,135,-145,"male"
938,-185,160,"male"
939,100,-120,"male"
940,-280,240,"male"
941,110,-130,"male"
942,150,-170,"male"
943,-300,250,"male"
944,145,-165,"male"
945,-275,235,"male"
946,-290,245,"male"
947,140,-160,"male"
948,-115,-105,"male"
949,250,-300,"male"
950,-150,130,"male"
951,-110,-110,"male"
952,150,-170,"male"
953,-165,145,"male"
954,-200,170,"male"
955,-125,105,"male"
956,155,-175,"male"
957,-245,205,"male"
958,145,-165,"female"
959,220,-260,"male"
960,-210,175,"male"
961,-120,100,"male"
962,-130,110,"male"
963,-640,470,"male"
964,140,-160,"female"
965,105,-125,"male"
966,-325,265,"male"
967,-110,-110,"male"
968,-430,345,"male"
969,-640,470,"male"
970,-110,-110,"female"
971,-115,-105,"male"
972,-700,500,"male"
973,-145,125,"male"
974,-190,165,"female"
975,-140,120,"male"
976,170,-200,"female"
977,-105,-115,"male"
978,-210,175,"male"
979,-150,130,"male"
980,-430,345,"male"
981,-190,165,"male"
982,-115,-105,"male"
983,-130,110,"male"
984,240,-260,"male"
985,550,-800,"male"
986,-210,175,"male"
987,220,-260,"male"
988,-1000,650,"female"
989,-155,135,"male"
990,-145,125,"male"
991,-185,160,"male"
992,175,-210,"female"
993,390,-490,"female"
994,-420,335,"male"
995,-160,140,"male"
996,-110,-110,"male"
997,270,-330,"male"
998,-105,-115,"male"
999,-255,215,"male"
1000,110,-130,"male"
1001,-250,210,"female"
1002,-165,145,"male"
1003,-300,250,"male"
1004,-165,145,"male"
1005,-190,165,"female"
1006,130,-150,"female"
1007,210,-250,"male"
1008,180,-220,"male"
1009,-220,180,"male"
1010,-140,120,"male"
