,r_fighter,r_reach,r_height,b_fighter,b_reach,b_height,win_type,last_round,match_type,match_length,referee,date,winner,reach_win,height_win
2599,joe duffy,73,5'10,ivan jorge,73,5'9,submission,1,3 rnd (5-5-5),00:03:05,keith peterson,2015-07-18,joe duffy,True,True
2600,ross pearson,69,5'8,evan dunham,70,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-18,evan dunham,True,True
2601,paddy holohan,69,5'10,vaughan lee,66,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-18,paddy holohan,True,True
2602,michael bisping,75,6'1,thales leites,78,6'1,decision - split,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2015-07-18,michael bisping,False,True
2603,stevie ray,70,5'10,leonardo mafra,70,5'10,ko/tko,1,3 rnd (5-5-5),00:02:30,keith peterson,2015-07-18,stevie ray,True,True
2604,mickael lebout,73,5'11,teemu packalen,75,6'1,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-18,mickael lebout,False,True
2605,daniel omielanczuk,74,6'0,chris de la rocha,80,6'3,ko/tko,1,3 rnd (5-5-5),00:00:48,keith peterson,2015-07-18,daniel omielanczuk,False,False
2606,marcus brimage,71,5'4,jimmie rivera,68,5'4,ko/tko,1,3 rnd (5-5-5),00:01:29,keith peterson,2015-07-18,jimmie rivera,False,False
2607,sam sicilia,67,5'8,yaotzin meza,71,5'9,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-15,sam sicilia,False,False
2608,alan jouban,73,6'0,matt dwyer,76,6'4,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-15,alan jouban,False,False
2609,jessica andrade,62,5'1,sarah moras,67,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-15,jessica andrade,False,False
2610,kevin lee,77,5'9,james moontasri,71,5'10,submission,1,3 rnd (5-5-5),00:02:56,keith peterson,2015-07-15,kevin lee,True,False
2611,josh thomson,71,5'10,tony ferguson,76,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-15,tony ferguson,True,True
2612,scott jorgensen,66,5'5,manvel gamburyan,67,5'5,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-15,manvel gamburyan,True,False
2613,holly holm,69,5'8,marion reneau,68,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-15,holly holm,True,True
2614,frank mir,79,6'3,todd duffee,78,6'3,ko/tko,1,5 rnd (5-5-5-5-5),00:01:13,keith peterson,2015-07-15,frank mir,True,True
2615,rani yahya,67,5'6,masanori kanehara,67,5'7,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-15,rani yahya,True,False
2616,andrew craig,76,6'1,lyman good,74,6'0,ko/tko,2,3 rnd (5-5-5),00:08:37,keith peterson,2015-07-15,lyman good,False,False
2617,igor araujo,77,6'1,sean strickland,76,6'1,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-15,sean strickland,False,False
2618,kevin casey,77,5'11,ildemar alcantara,78,6'2,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-15,kevin casey,False,False
2619,maximo blanco,71,5'8,mike de la torre,71,5'11,ko/tko,1,3 rnd (5-5-5),00:00:16,keith peterson,2015-07-12,maximo blanco,True,False
2620,jorge masvidal,74,5'11,cezar ferreira,78,6'1,ko/tko,1,3 rnd (5-5-5),00:04:22,keith peterson,2015-07-12,jorge masvidal,False,True
2621,josh samman,79,6'3,caio magalhaes,73,6'1,submission,1,3 rnd (5-5-5),00:02:52,keith peterson,2015-07-12,josh samman,True,True
2622,angela magana,65,5'1,michelle waterson,62,5'3,submission,3,3 rnd (5-5-5),00:12:38,keith peterson,2015-07-12,michelle waterson,False,True
2623,jake ellenberger,71,5'9,stephen thompson,75,6'0,ko/tko,1,5 rnd (5-5-5-5-5),00:04:29,keith peterson,2015-07-12,stephen thompson,True,True
2624,russell doane,70,5'7,jerrod sanders,72,5'8,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-12,jerrod sanders,True,True
2625,michael graves,71,5'10,vicente luque,75,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-12,michael graves,False,False
2626,darrell montague,67,5'6,willie gates,72,5'8,ko/tko,1,3 rnd (5-5-5),00:01:36,keith peterson,2015-07-12,willie gates,True,True
2627,george sullivan,73,6'0,dominic waters,79,6'1,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-12,george sullivan,False,False
2628,dan miller,74,6'1,trevor smith,75,6'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-12,trevor smith,True,True
2629,chad mendes,66,5'6,conor mcgregor,74,5'9,ko/tko,2,5 rnd (5-5-5-5-5),00:09:57,keith peterson,2015-07-11,conor mcgregor,True,True
2630,matt brown,75,6'0,tim means,75,6'2,submission,1,3 rnd (5-5-5),00:04:44,keith peterson,2015-07-11,matt brown,True,False
2631,gunnar nelson,72,5'11,brandon thatch,74,6'2,submission,1,3 rnd (5-5-5),00:02:54,keith peterson,2015-07-11,gunnar nelson,False,False
2632,robbie lawler,74,5'11,rory macdonald,76,6'0,ko/tko,5,5 rnd (5-5-5-5-5),00:21:00,keith peterson,2015-07-11,robbie lawler,False,True
2633,cathal pendred,75,6'1,john howard,72,5'7,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-11,john howard,False,False
2634,mike swick,77,6'1,alex garcia,72,5'9,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-11,alex garcia,False,False
2635,brad pickett,68,5'6,thomas almeida,70,5'7,ko/tko,2,3 rnd (5-5-5),00:05:29,keith peterson,2015-07-11,thomas almeida,True,True
2636,dennis bermudez,66,5'6,jeremy stephens,71,5'9,ko/tko,3,3 rnd (5-5-5),00:10:32,keith peterson,2015-07-11,jeremy stephens,True,True
2637,neil seery,64,5'4,louis smolka,68,5'9,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-11,louis smolka,True,True
2638,yosdenis cedeno,69,5'8,cody pfister,73,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-11,cody pfister,True,True
2639,cody garbrandt,65,5'8,henry briones,69,5'8,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-07-11,cody garbrandt,False,True
2640,santiago ponzinibbio,73,6'0,lorenz larkin,72,5'11,ko/tko,2,3 rnd (5-5-5),00:08:07,keith peterson,2015-06-27,lorenz larkin,False,True
2641,antonio carlos junior,79,6'2,eddie gordon,76,6'0,submission,3,3 rnd (5-5-5),00:14:37,keith peterson,2015-06-27,antonio carlos junior,True,True
2642,lyoto machida,74,6'1,yoel romero,73,6'0,ko/tko,3,5 rnd (5-5-5-5-5),00:11:38,keith peterson,2015-06-27,yoel romero,False,False
2643,hacran dias,69,5'8,levan makashvili,68,5'8,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-06-27,hacran dias,True,True
2644,thiago santos,76,6'2,steve bosse,72,5'11,ko/tko,1,3 rnd (5-5-5),00:00:29,keith peterson,2015-06-27,thiago santos,True,True
2645,nick hein,66,5'6,lukasz sajewski,71,5'8,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-06-20,nick hein,False,False
2646,joanna jedrzejczyk,65,5'6,jessica penne,67,5'5,ko/tko,3,5 rnd (5-5-5-5-5),00:14:22,keith peterson,2015-06-20,joanna jedrzejczyk,False,True
2647,dennis siver,70,5'6,tatsuya kawajiri,69,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-06-20,tatsuya kawajiri,False,True
2648,makwan amirkhani,72,5'10,masio fullen,70,5'10,submission,1,3 rnd (5-5-5),00:01:41,keith peterson,2015-06-20,makwan amirkhani,True,True
2649,mairbek taisumov,73,5'9,alan patrick,74,5'11,ko/tko,2,3 rnd (5-5-5),00:06:30,keith peterson,2015-06-20,mairbek taisumov,False,False
2650,taylor lapilus,73,5'6,yuta sasaki,71,5'10,ko/tko,2,3 rnd (5-5-5),00:06:26,keith peterson,2015-06-20,taylor lapilus,True,False
2651,piotr hallmann,71,5'9,magomed mustafaev,71,5'8,tko - doctor's stoppage,2,3 rnd (5-5-5),00:08:24,keith peterson,2015-06-20,magomed mustafaev,False,False
2652,alejandro perez,67,5'6,patrick williams,73,5'8,submission,1,3 rnd (5-5-5),00:00:23,keith peterson,2015-06-13,patrick williams,True,True
2653,henry cejudo,64,5'4,chico camus,66,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-06-13,henry cejudo,False,False
2654,tecia torres,60,5'1,angela hill,64,5'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-06-13,tecia torres,False,False
2655,yair rodriguez,71,5'11,charles rosa,69,5'9,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-06-13,yair rodriguez,True,True
2656,gilbert melendez,73,5'9,eddie alvarez,69,5'9,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-06-13,eddie alvarez,False,False
2657,cain velasquez,77,6'1,fabricio werdum,77,6'4,submission,3,5 rnd (5-5-5-5-5),00:12:13,keith peterson,2015-06-13,fabricio werdum,False,True
2658,kelvin gastelum,71,5'9,nate marquardt,74,6'0,ko/tko,2,3 rnd (5-5-5),00:10:00,keith peterson,2015-06-13,kelvin gastelum,False,False
2659,efrain escudero,71,5'9,drew dober,70,5'8,submission,1,3 rnd (5-5-5),00:00:54,keith peterson,2015-06-13,efrain escudero,True,True
2660,francisco trevino,70,5'9,johnny case,72,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-06-13,johnny case,True,True
2661,gabriel benitez,71,5'8,clay collard,73,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-06-13,gabriel benitez,False,False
2662,augusto montano,73,6'1,cathal pendred,75,6'1,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-06-13,cathal pendred,True,False
2663,tim boetsch,74,6'0,dan henderson,74,5'11,ko/tko,1,5 rnd (5-5-5-5-5),00:00:28,keith peterson,2015-06-06,dan henderson,False,True
2664,francisco rivera,70,5'8,alex caceres,73,5'10,ko/tko,1,3 rnd (5-5-5),00:00:21,keith peterson,2015-06-06,francisco rivera,False,False
2665,joe soto,65,5'6,anthony birchak,69,5'8,ko/tko,1,3 rnd (5-5-5),00:01:37,keith peterson,2015-06-06,anthony birchak,True,True
2666,thiago tavares,70,5'7,brian ortega,69,5'8,ko/tko,3,3 rnd (5-5-5),00:14:10,keith peterson,2015-06-06,brian ortega,False,True
2667,dustin poirier,72,5'9,yancy medeiros,75,5'10,ko/tko,1,3 rnd (5-5-5),00:02:38,keith peterson,2015-06-06,dustin poirier,False,False
2668,ben rothwell,78,6'4,matt mitrione,82,6'3,submission,1,3 rnd (5-5-5),00:01:54,keith peterson,2015-06-06,ben rothwell,False,True
2669,shawn jordan,75,6'0,derrick lewis,79,6'3,ko/tko,2,3 rnd (5-5-5),00:05:48,keith peterson,2015-06-06,shawn jordan,False,False
2670,brian ebersole,73,6'0,omari akhmedov,73,6'0,ko/tko,1,3 rnd (5-5-5),00:05:00,keith peterson,2015-06-06,omari akhmedov,False,False
2671,chris wade,70,5'10,christos giagos,71,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-06-06,chris wade,False,True
2672,joe proctor,72,5'10,justin edwards,70,5'10,submission,3,3 rnd (5-5-5),00:14:58,keith peterson,2015-06-06,joe proctor,True,True
2673,kj noons,70,5'10,alex oliveira,76,5'11,submission,1,3 rnd (5-5-5),00:02:51,keith peterson,2015-05-30,alex oliveira,True,True
2674,jussier formiga,67,5'5,wilson reis,65,5'4,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-05-30,jussier formiga,True,True
2675,francimar barroso,75,6'1,ryan jimmo,73,6'1,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-05-30,francimar barroso,True,True
2676,rony jason,73,5'7,damon jackson,71,5'11,overturned,1,3 rnd (5-5-5),00:03:31,keith peterson,2015-05-30,francimar barroso,False,False
2677,carlos condit,75,6'2,thiago alves,70,5'9,tko - doctor's stoppage,2,5 rnd (5-5-5-5-5),00:10:00,keith peterson,2015-05-30,carlos condit,True,True
2678,francisco trinaldo,70,5'9,norman parke,70,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-05-30,francisco trinaldo,True,False
2679,nik lentz,68,5'8,charles oliveira,74,5'10,submission,3,3 rnd (5-5-5),00:11:10,keith peterson,2015-05-30,charles oliveira,True,True
2680,elizeu zaleski dos santos,73,5'11,nicolas dalby,74,5'11,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-05-30,nicolas dalby,True,False
2681,lucas martins,72,6'0,mirsad bektic,70,5'8,ko/tko,2,3 rnd (5-5-5),00:05:30,keith peterson,2015-05-30,mirsad bektic,False,False
2682,chris weidman,78,6'2,vitor belfort,74,6'0,ko/tko,1,5 rnd (5-5-5-5-5),00:02:53,keith peterson,2015-05-23,chris weidman,True,True
2683,uriah hall,79,6'0,rafael natal,77,6'0,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-05-23,rafael natal,False,False
2684,john dodson,66,5'3,zach makovsky,64,5'4,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-05-23,john dodson,True,False
2685,anthony johnson,78,6'2,daniel cormier,72,5'11,submission,3,5 rnd (5-5-5-5-5),00:12:39,keith peterson,2015-05-23,daniel cormier,False,False
2686,travis browne,79,6'6,andrei arlovski,77,6'3,ko/tko,1,3 rnd (5-5-5),00:04:41,keith peterson,2015-05-23,andrei arlovski,False,False
2687,dong hyun kim,76,6'2,joshua burkman,72,5'10,submission,3,3 rnd (5-5-5),00:12:13,keith peterson,2015-05-23,dong hyun kim,True,True
2688,joseph benavidez,65,5'4,john moraga,66,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-05-23,joseph benavidez,False,False
2689,donald cerrone,73,6'1,john makdessi,68,5'8,ko/tko,2,3 rnd (5-5-5),00:09:44,keith peterson,2015-05-23,donald cerrone,True,True
2690,mike pyle,74,6'0,colby covington,72,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-05-23,colby covington,False,True
2691,justin scoggins,66,5'7,josh sampo,64,5'4,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-05-23,justin scoggins,True,True
2692,hyun gyu lim,77,6'3,neil magny,80,6'3,ko/tko,2,3 rnd (5-5-5),00:06:24,keith peterson,2015-05-16,neil magny,True,False
2693,gegard mousasi,76,6'2,constantinos philippou,73,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-05-16,gegard mousasi,True,True
2694,mark eddiva,68,5'8,levan makashvili,68,5'8,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-05-16,levan makashvili,False,False
2695,tae hyun bang,71,5'9,jon tuck,73,5'11,submission,1,3 rnd (5-5-5),00:03:56,keith peterson,2015-05-16,jon tuck,True,True
2696,zhang lipeng,71,5'11,kajan johnson,75,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-05-16,kajan johnson,True,False
2697,mark munoz,71,6'0,luke barnatt,77,6'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-05-16,mark munoz,False,False
2698,frankie edgar,68,5'6,urijah faber,67,5'6,decision - unanimous,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2015-05-16,frankie edgar,True,True
2699,li jingliang,71,6'0,dhiego lima,75,6'2,ko/tko,1,3 rnd (5-5-5),00:01:25,keith peterson,2015-05-16,li jingliang,False,False
2700,guangyou ning,64,5'4,royston wee,67,5'7,ko/tko,2,3 rnd (5-5-5),00:09:59,keith peterson,2015-05-16,guangyou ning,False,False
2701,daniel kelly,70,6'0,sam alvey,75,6'2,ko/tko,1,3 rnd (5-5-5),00:00:49,keith peterson,2015-05-09,sam alvey,True,True
2702,stipe miocic,80,6'4,mark hunt,72,5'10,ko/tko,5,5 rnd (5-5-5-5-5),00:22:47,keith peterson,2015-05-09,stipe miocic,True,True
2703,jake matthews,73,5'11,james vick,76,6'3,submission,1,3 rnd (5-5-5),00:04:53,keith peterson,2015-05-09,james vick,True,True
2704,anthony perosh,75,6'3,sean o'connell,74,6'1,ko/tko,1,3 rnd (5-5-5),00:00:56,keith peterson,2015-05-09,sean o'connell,False,False
2705,brad tavares,74,6'1,robert whittaker,73,6'0,ko/tko,1,3 rnd (5-5-5),00:00:44,keith peterson,2015-05-09,robert whittaker,False,False
2706,hatsu hioki,73,5'11,dan hooker,75,6'0,ko/tko,2,3 rnd (5-5-5),00:09:13,keith peterson,2015-05-09,dan hooker,True,False
2707,dylan andrews,74,6'1,brad scott,76,6'1,submission,2,3 rnd (5-5-5),00:09:54,keith peterson,2015-05-09,brad scott,True,False
2708,alex chambers,63,5'3,kailin curran,65,5'4,submission,3,3 rnd (5-5-5),00:13:15,keith peterson,2015-05-09,alex chambers,False,False
2709,alptekin ozkilic,65,5'5,ben nguyen,65,5'5,ko/tko,1,3 rnd (5-5-5),00:04:59,keith peterson,2015-05-09,ben nguyen,False,False
2710,vik grujic,73,5'11,brendan o'reilly,69,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-05-09,brendan o'reilly,False,False
2711,demetrious johnson,66,5'3,kyoji horiguchi,66,5'5,submission,5,5 rnd (5-5-5-5-5),00:24:59,keith peterson,2015-04-25,demetrious johnson,True,False
2712,patrick cote,75,5'11,joe riggs,70,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-04-25,patrick cote,True,True
2713,john makdessi,68,5'8,shane campbell,71,6'0,ko/tko,1,3 rnd (5-5-5),00:04:53,keith peterson,2015-04-25,john makdessi,False,False
2714,michael bisping,75,6'1,cb dollaway,76,6'2,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-04-25,michael bisping,False,False
2715,yves jabouin,68,5'7,thomas almeida,70,5'7,ko/tko,1,3 rnd (5-5-5),00:04:18,keith peterson,2015-04-25,thomas almeida,True,False
2716,quinton jackson,73,6'1,fabio maldonado,75,6'1,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-04-25,quinton jackson,False,True
2717,chad laprise,71,5'10,bryan barberena,72,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-04-25,chad laprise,False,True
2718,alexis davis,68,5'6,sarah kaufman,66,5'5,submission,2,3 rnd (5-5-5),00:08:07,keith peterson,2015-04-25,alexis davis,True,True
2719,nordine taleb,74,6'1,chris clements,70,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-04-25,nordine taleb,True,True
2720,randa markos,63,5'4,aisling daly,64,5'2,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-04-25,randa markos,False,True
2721,jim miller,71,5'8,beneil dariush,72,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-04-18,beneil dariush,True,True
2722,jacare souza,72,6'1,chris camozzi,75,6'2,submission,1,3 rnd (5-5-5),00:02:33,keith peterson,2015-04-18,jacare souza,False,False
2723,ovince saint preux,80,6'3,patrick cummins,76,6'2,ko/tko,1,3 rnd (5-5-5),00:04:54,keith peterson,2015-04-18,ovince saint preux,True,True
2724,takeya mizugaki,69,5'7,aljamain sterling,71,5'7,submission,3,3 rnd (5-5-5),00:12:11,keith peterson,2015-04-18,aljamain sterling,True,False
2725,lyoto machida,74,6'1,luke rockhold,77,6'3,submission,2,5 rnd (5-5-5-5-5),00:07:31,keith peterson,2015-04-18,luke rockhold,True,True
2726,cub swanson,70,5'8,max holloway,69,5'11,submission,3,3 rnd (5-5-5),00:13:58,keith peterson,2015-04-18,max holloway,False,True
2727,corey anderson,79,6'3,gian villante,76,6'3,ko/tko,3,3 rnd (5-5-5),00:14:18,keith peterson,2015-04-18,gian villante,False,False
2728,felice herrig,65,5'4,paige vanzant,65,5'4,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-04-18,paige vanzant,False,False
2729,eddie gordon,76,6'0,chris dempsey,72,5'10,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-04-18,chris dempsey,False,False
2730,george sullivan,73,6'0,tim means,75,6'2,submission,3,3 rnd (5-5-5),00:13:41,keith peterson,2015-04-18,tim means,True,True
2731,diego brandao,64,5'7,jimy hettes,71,5'9,tko - doctor's stoppage,1,3 rnd (5-5-5),00:05:00,keith peterson,2015-04-18,diego brandao,False,False
2732,joanne calderwood,65,5'6,maryna moroz,67,5'7,submission,1,3 rnd (5-5-5),00:01:30,keith peterson,2015-04-11,maryna moroz,True,True
2733,jimi manuwa,79,6'1,jan blachowicz,78,6'2,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-04-11,jimi manuwa,True,False
2734,damian stasiak,70,5'5,yaotzin meza,71,5'9,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-04-11,yaotzin meza,True,True
2735,pawel pawlak,73,6'0,sheldon westcott,71,6'1,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-04-11,pawel pawlak,True,False
2736,bartosz fabinski,75,6'0,garreth mclellan,72,6'1,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-04-11,bartosz fabinski,True,False
2737,sergio moraes,72,6'0,mickael lebout,73,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-04-11,sergio moraes,False,False
2738,seth baczynski,75,6'3,leon edwards,74,6'2,ko/tko,1,3 rnd (5-5-5),00:00:08,keith peterson,2015-04-11,leon edwards,False,False
2739,gabriel gonzaga,76,6'2,mirko filipovic,73,6'2,ko/tko,3,5 rnd (5-5-5-5-5),00:13:30,keith peterson,2015-04-11,mirko filipovic,False,False
2740,daniel omielanczuk,74,6'0,anthony hamilton,76,6'5,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-04-11,anthony hamilton,True,True
2741,jorge masvidal,74,5'11,al iaquinta,70,5'10,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-04-04,al iaquinta,False,False
2742,chad mendes,66,5'6,ricardo lamas,71,5'8,ko/tko,1,5 rnd (5-5-5-5-5),00:02:45,keith peterson,2015-04-04,chad mendes,False,False
2743,gray maynard,70,5'9,alexander yakovlev,74,6'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-04-04,alexander yakovlev,True,True
2744,michael chiesa,75,6'1,mitch clarke,73,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-04-04,michael chiesa,True,True
2745,clay guida,70,5'7,robert peralta,71,5'8,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-04-04,clay guida,False,False
2746,dustin poirier,72,5'9,diego ferreira,74,5'9,ko/tko,1,3 rnd (5-5-5),00:03:45,keith peterson,2015-04-04,dustin poirier,False,True
2747,shamil abdurakhimov,76,6'3,timothy johnson,77,6'3,ko/tko,1,3 rnd (5-5-5),00:04:57,keith peterson,2015-04-04,timothy johnson,True,False
2748,liz carmouche,66,5'6,lauren murphy,67,5'5,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-04-04,liz carmouche,False,True
2749,leonardo santos,75,6'0,anthony rocco martin,73,6'0,submission,2,3 rnd (5-5-5),00:07:29,keith peterson,2015-03-21,leonardo santos,True,True
2750,godofredo pepey,73,5'7,andre fili,74,5'11,submission,1,3 rnd (5-5-5),00:03:14,keith peterson,2015-03-21,godofredo pepey,False,False
2751,gilbert burns,71,5'10,alex oliveira,76,5'11,submission,3,3 rnd (5-5-5),00:14:14,keith peterson,2015-03-21,gilbert burns,False,False
2752,francisco trinaldo,70,5'9,akbarh arreola,71,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-03-21,francisco trinaldo,False,False
2753,demian maia,72,6'1,ryan laflare,74,6'1,decision - unanimous,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2015-03-21,demian maia,False,True
2754,edimilson souza,74,6'0,katsunori kikuno,66,5'8,ko/tko,1,3 rnd (5-5-5),00:01:31,keith peterson,2015-03-21,edimilson souza,True,True
2755,erick silva,74,6'0,josh koscheck,73,5'10,submission,1,3 rnd (5-5-5),00:04:21,keith peterson,2015-03-21,erick silva,True,True
2756,leandro silva,72,5'9,drew dober,70,5'8,overturned,2,3 rnd (5-5-5),00:07:45,keith peterson,2015-03-21,leonardo mafra,False,False
2757,johny hendricks,69,5'9,matt brown,75,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-03-14,johny hendricks,False,False
2758,carla esparza,63,5'1,joanna jedrzejczyk,65,5'6,ko/tko,2,5 rnd (5-5-5-5-5),00:09:17,keith peterson,2015-03-14,joanna jedrzejczyk,True,True
2759,ross pearson,69,5'8,sam stout,70,5'9,ko/tko,2,3 rnd (5-5-5),00:06:33,keith peterson,2015-03-14,ross pearson,False,False
2760,chris cariaso,64,5'3,henry cejudo,64,5'4,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-03-14,henry cejudo,False,True
2761,roy nelson,73,6'0,alistair overeem,80,6'4,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-03-14,alistair overeem,True,True
2762,anthony pettis,72,5'10,rafael dos anjos,70,5'8,decision - unanimous,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2015-03-14,rafael dos anjos,False,False
2763,daron cruickshank,72,5'8,beneil dariush,72,5'10,submission,2,3 rnd (5-5-5),00:07:38,keith peterson,2015-03-14,beneil dariush,False,True
2764,sergio pettis,69,5'6,ryan benoit,68,5'5,ko/tko,2,3 rnd (5-5-5),00:06:34,keith peterson,2015-03-14,ryan benoit,False,False
2765,jake ellenberger,71,5'9,josh koscheck,73,5'10,submission,2,3 rnd (5-5-5),00:09:20,keith peterson,2015-02-28,jake ellenberger,False,False
2766,dhiego lima,75,6'2,tim means,75,6'2,ko/tko,1,3 rnd (5-5-5),00:02:17,keith peterson,2015-02-28,tim means,False,False
2767,mark munoz,71,6'0,roan carneiro,76,5'11,submission,1,3 rnd (5-5-5),00:01:40,keith peterson,2015-02-28,roan carneiro,True,True
2768,tony ferguson,76,5'11,gleison tibau,71,5'10,submission,1,3 rnd (5-5-5),00:02:37,keith peterson,2015-02-28,tony ferguson,True,True
2769,ronda rousey,66,5'7,cat zingano,68,5'6,submission,1,5 rnd (5-5-5-5-5),00:00:14,keith peterson,2015-02-28,ronda rousey,False,True
2770,raquel pennington,67,5'7,holly holm,69,5'8,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-02-28,holly holm,True,True
2771,james krause,73,6'2,valmir lazaro,73,6'0,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2015-02-28,valmir lazaro,False,False
2772,alan jouban,73,6'0,richard walsh,73,6'0,ko/tko,1,3 rnd (5-5-5),00:02:19,keith peterson,2015-02-28,alan jouban,True,True
2773,derrick lewis,79,6'3,ruan potts,75,6'2,ko/tko,2,3 rnd (5-5-5),00:08:18,keith peterson,2015-02-28,derrick lewis,True,True
2774,cezar ferreira,78,6'1,sam alvey,75,6'2,ko/tko,1,3 rnd (5-5-5),00:03:34,keith peterson,2015-02-22,sam alvey,False,True
